specid,family,genus,species,GF
xyl1fr,Annonaceae,Xylopia,frutescens,T
chr2ar,Sapotaceae,Chrysophyllum,argenteum,T
virose,Myristicaceae,Virola,sebifera,T
vismba,Hypericaceae,Vismia,baccifera,T
psidgu,Myrtaceae,Psidium,guajava,T
termam,Combretaceae,Terminalia,amazonia,T
vismma,Hypericaceae,Vismia,macrophylla,T
micoar,Melastomataceae,Miconia,argentea,T
ocotce,Lauraceae,Ocotea,cernua,T
byrscr,Malpighiaceae,Byrsonima,crassifolia,T
casesy,Salicaceae,Casearia,sylvestris,T
odo1pu,Apocynaceae,Odontadenia,puncticulosa,L
psycg3,Rubiaceae,Psychotria,grandis,T
micosm,Melastomataceae,Miconia,smaragdina,T
laxote,Apocynaceae,Laxoplumeria,tessmannii,T
andiin,Fabaceae,Andira,inermis,T
cletla,Clethraceae,Clethra,mexicana,T
conoxa,Melastomataceae,Conostegia,xalapensis,T
guatdu,Annonaceae,Guatteria,lucens,T
peraar,Euphorbiaceae,Pera,arborea,T
hyeral,Phyllanthaceae,Hieronyma,alchorneoides,T
sennha,Fabaceae,Senna,hayesiana,T
saurla,Actinidiaceae,Saurauia,yasicae,T
ingath,Fabaceae,Inga,thibaudiana,T
sipapa,Siparunaceae,Siparuna,pauciflora,T
protte,Burseraceae,Protium,tenuifolium,T
cupaci,Sapindaceae,Cupania,cinerea,T
hampap,Malvaceae,Hampea,appendiculata,T
vernpa,Asteraceae,Vernonia,patens,T
lepica,Asteraceae,Lepidaploa,canescens,L
wulfba,Asteraceae,Tilesia,baccata,L
caseco,Salicaceae,Casearia,commersoniana,T
pit1ba,Fabaceae,Abarema,barbouriana,T
davini,Dilleniaceae,Davilla,nitida,L
pipead,Piperaceae,Piper,aduncum,T
adenfl,Lythraceae,Adenaria,floribunda,T
laciag,Lacistemataceae,Lacistema,aggregatum,T
het1vi,Asteraceae,Heterocondylus,vitalbae,L
ingaco,Fabaceae,Inga,cocleensis,T
conosp,Melastomataceae,Conostegia,speciosa,T
swars2,Fabaceae,Swartzia,simplex,T
pre2po,Apocynaceae,Prestonia,portobellensis,L
mosqja,Anacardiaceae,Mosquitoxylum,jamaicense,T
hip2vo,Celastraceae,Hippocratea,volubilis,L
paligu,Rubiaceae,Palicourea,guianensis,T
pentma,Rubiaceae,Pentagonia,macrophylla,T
alchco,Euphorbiaceae,Alchornea,costaricensis,T
ryansp,Salicaceae,Ryania,speciosa,T
micobo,Melastomataceae,Miconia,minutiflora,T
mandhi,Apocynaceae,Mandevilla,hirsuta,L
citrau,Rutaceae,Citrus,aurantium,T
maripa,Convolvulaceae,Maripa,panamensis,L
connpa,Connaraceae,Connarus,panamensis,L
lozapi,Lacistemataceae,Lozania,pittieri,T
calolo,Calophyllaceae,Calophyllum,longifolium,T
alchla,Euphorbiaceae,Alchornea,latifolia,T
micopr,Melastomataceae,Miconia,prasina,T
pochse,Malvaceae,Pachira,sessilis,T
cespma,Ochnaceae,Cespedesia,spathulata,T
lantca,Verbenaceae,Lantana,camara,T
cassel,Rhizophoraceae,Cassipourea,elliptica,T
xyl2ch,Salicaceae,Xylosma,chlorantha,T
protco,Burseraceae,Protium,costaricense,T
aspicr,Apocynaceae,Aspidosperma,desmanthum,T
mataap,Sapindaceae,Matayba,oppositifolia,T
paulru,Sapindaceae,Paullinia,rugosa,L
ingape,Fabaceae,Inga,pezizifera,T
ocotde,Lauraceae,Ocotea,dendrodaphne,T
cupasc,Sapindaceae,Cupania,scrobiculata,T
eugene,Myrtaceae,Eugenia,nesiotica,T
annosp,Annonaceae,Annona,spraguei,T
banagu,Salicaceae,Banara,guianensis,T
brosgu,Moraceae,Brosimum,guianense,T
poular,Moraceae,Poulsenia,armata,T
dolide,Dilleniaceae,Doliocarpus,dentatus,L
bacctr,Asteraceae,Baccaris,trinervis,T
dolimu,Dilleniaceae,Doliocarpus,multiflorus,L
micoaf,Melastomataceae,Miconia,affinis,T
myr2fl,Myrtaceae,Myrciaria,floribunda,T
nectpu,Lauraceae,Nectandra,purpurea,T
protpa,Burseraceae,Protium,panamense,T
cordbi,Boraginaceae,Cordia,bicolor,T
mikagu,Asteraceae,Mikania,guaco,L
dio2ar,Ebenaceae,Diospyros,artanthifolia,T
tri4ga,Malvaceae,Trichospermum,galeottii,T
ouralu,Ochnaceae,Ouratea,lucens,T
apeiti,Malvaceae,Apeiba,tibourbou,T
swars1,Fabaceae,Swartzia,simplex,T
ingase,Fabaceae,Inga,sertulifera,T
cnesru,Connaraceae,Cnestidium,rufescens,L
cecrpe,Urticaceae,Cecropia,peltata,T
solaha,Solanaceae,Solanum,hayesii,T
ery1co,Fabaceae,Erythrina,costaricensis,T
goualu,Rhamnaceae,Gouania,lupuloides,L
zantpr,Rutaceae,Zanthoxylum,acuminatum,T
courpa,Lecythidaceae,Couratari,guianensis,T
machse,Fabaceae,Machaerium,seemannii,L
virosu,Myristicaceae,Virola,surinamensis,T
luehsp,Malvaceae,Luehea,speciosa,T
sabipa,Rubiaceae,Sabicea,panamensis,L
curaam,Dilleniaceae,Curatella,americana,T
daviku,Dilleniaceae,Davilla,kunthii,L
sch2mo,Araliaceae,Schefflera,morototoni,T
machke,Fabaceae,Machaerium,kegelii,L
cal1wa,Myrtaceae,Calycolpus,warszewiczianus,T
roupmo,Proteaceae,Roupala,montana,T
ternte,Pentaphylacaceae,Ternstroemia,tepezapote,T
thevah,Apocynaceae,Thevetia,ahouai,T
verbgi,Asteraceae,Verbesina,gigantea,T
amaico,Rubiaceae,Amaioua,corymbosa,T
chrood,Asteraceae,Chromolaena,odorata,T
myrcga,Myrtaceae,Myrcia,splendens,T
vochfe,Vochysiaceae,Vochysia,ferruginea,T
cecrin,Urticaceae,Cecropia,insignis,T
micopo,Melastomataceae,Miconia,poeppigii,T
margno,Phyllanthaceae,Margaritaria,nobilis,T
micola,Melastomataceae,Miconia,lacera,T
sipagu,Siparunaceae,Siparuna,guianensis,T
micoim,Melastomataceae,Miconia,impetiolaris,T
marapa,Chrysobalanaceae,Maranthes,panamensis,T
dolima,Dilleniaceae,Doliocarpus,major,L
vismbi,Hypericaceae,Vismia,billbergiana,T
cochvi,Bixaceae,Cochlospermum,vitifolium,T
cordal,Boraginaceae,Cordia,alliodora,T
ery2ci,Erythroxylaceae,Erythroxylum,citrifolium,T
cordsp,Boraginacea,Cordia,spinescens,L
serjpa,Sapindaceae,Serjania,paucidentata,L
escham,Lecythidaceae,Eschweilera,amplexifolia,T
coccma,Polygonaceae,Coccoloba,manzinellensis,T
ficuci,Moraceae,Ficus,citrifolia,T
connla,Connaraceae,Connarus,lambertii,L
rourgl,Connaraceae,Rourea,glabra,L
sponra,Anacardiaceae,Spondias,radlkoferi,T
leandi,Melastomataceae,Leandra,dichotoma,T
ficuny,Moraceae,Ficus,nymphaeifolia,T
chi2al,Rubiaceae,Chiococca,alba,L
chimpa,Rubiaceae,Chimarrhis,parviflora,T
jac1co,Bignoniaceae,Jacaranda,copaia,T
passau,Passifloraceae,Passiflora,auriculata,L
solaja,Solanaceae,Solanum,jamaicense,T
maytsc,Celastraceae,Maytenus,schippii,T
clidoc,Melastomataceae,Clidemia,octona,T
clidde,Melastomataceae,Clidemia,dentata,T
urenlo,Malvaceae,Urena,lobata,T
pipecu,Piperaceae,Piper,colonense,T
cestme,Solanaceae,Cestrum,megalophyllum,T
cisser,Vitaceae,Cissus,erosa,L
gmelar,Lamiaceae,Gmelina,arborea,T
pac1pa,Fabaceae,Pachyrhizus,panamensis,L
cuparu,Sapindaceae,Cupania,rufescens,T
serjme,Sapindaceae,Serjania,mexicana,L
sapiau,Euphorbiaceae,Sapium,glandulosum,T
gouapo,Rhamnaceae,Gouania,polygama,L
loncla,Fabaceae,Lonchocarpus,heptaphyllus,T
mas2ov,Malpighiaceae,Mascagnia,ovatifolia,L
dendar,Araliaceae,Dendropanax,arboreus,T
serjpy,Sapindaceae,Serjania,pyramidata,L
diphro,Fabaceae,Diphysa,americana,T
aegipa,Lamiaceae,Aegiphila,panamensis,T
casegu,Salicaceae,Casearia,guianensis,T
paulfi,Sapindaceae,Paullinia,fibrigera,L
arissp,Aristolochiaceae,Aristolochia,sprucei,L
godmae,Bignoniaceae,Godmania,aesculifolia,T
pipeco,Piperaceae,Piper,cordulatum,T
pipema,Piperaceae,Piper,marginatum,T
syzyja,Myrtaceae,Syzygium,jambos,T
sennba,Fabaceae,Senna,bacillaris,T
machmi,Fabaceae,Machaerium,microphyllum,L
tet3ti,Malpighiaceae,Tetrapterys,tinifolia,L
cordcu,Boraginaceae,Varronia,curassavica,T
cecrob,Urticaceae,Cecropia,obtusifolia,T
psycc1,Rubiaceae,Psychotria,capitata,T
coccex,Polygonaceae,Coccoloba,excelsa,L
crotbi,Euphorbiaceae,Croton,billbergianus,T
psidg1,Myrtaceae,Psidium,guineense,T
citrsi,Rutaceae,Citrus,sinensis,T
hen1fa,Melastomataceae,Henriettella,fascicularis,T
psycb1,Rubiaceae,Psychotria,brachiata,T
lopida,Malvaceae,Pavonia,dasypetala,T
guatam,Annonaceae,Guatteria,amplifolia,T
psycb2,Rubiaceae,Psychotria,gracilenta,T
pipepu,Piperaceae,Piper,pubistipulum,T
pen1ma,Fabaceae,Pentaclethra,macroloba,T
tourgl,Boraginaceae,Tournefortia,glabra,L
anacoc,Anacardiaceae,Anacardium,occidentale,T
psycpo,Rubiaceae,Psychotria,poeppigiana,T
turpoc,Staphyleaceae,Turpinia,occidentalis,T
ery2pa,Erythroxylaceae,Erythroxylum,panamense,T
malogu,Apocynaceae,Malouetia,guatemalensis,T
chr1ec,Clusiaceae,Chrysochlamys,eclipes,T
clidca,Melastomataceae,Clidemia,capitellata,T
bauhgu,Fabaceae,Bauhinia,guianensis,L
neurlo,Asteraceae,Neurolaena,lobata,T
simaam,Simaroubaceae,Simarouba,amara,T
virosp,Myristicaceae,Virola,multiflora,T
heisac,Olacaceae,Heisteria,acuminata,T
rhynpy,Fabaceae,Rhynchosia,pyramidalis,L
dendma,Araliaceae,Dendropanax,maritimus,T
perexa,Moraceae,Perebea,xanthochyma,T
anacex,Anacardiaceae,Anacardium,excelsum,T
clibsu,Asteraceae,Clibadium,surinamense,T
iserha,Rubiaceae,Isertia,haenkeana,T
zuelgu,Salicaceae,Zuelania,guidonia,T
ficuin,Moraceae,Ficus,insipida,T
machsa,Fabaceae,Machaerium,salvadorense,L
tourcu,Boraginaceae,Tournefortia,cuspidata,L
dio1me,Dioscoreaceae,Dioscorea,mexicana,L
luehse,Malvaceae,Luehea,seemannii,T
sennun,Fabaceae,Senna,undulata,L
cyphha,Solanaceae,Solanum,circinatum,T
tab1ro,Bignoniaceae,Tabebuia,rosea,T
banico,Malpighiaceae,Banisteriopsis,cornifolia,L
tet1vo,Dilleniaceae,Tetracera,volubilis,L
aristo,Aristolochiaceae,Aristolochia,tonduzii,L
casear,Salicaceae,Casearia,arborea,T
nectci,Lauraceae,Nectandra,cissiflora,T
tapigu,Anacardiaceae,Tapirira,guianensis,T
smilsu,Smilacaceae,Smilax,subpubescens,L
stizri,Bignoniaceae,Stizophyllum,riparium,L
machpo,Fabaceae,Machaerium,polyphyllum,L
serjtr,Sapindaceae,Serjania,trachygona,L
des1or,Arecaceae,Desmoncus,orthacanthos,L
micoel,Melastomataceae,Miconia,elata,T
ipomph,Convolvulaceae,Ipomoea,philomega,L
oenoma,Arecaceae,Oenocarpus,mapora,P
dich1,Dichapetalaceae,Dichapetalum,NA,L
odo1ma,Apocynaceae,Odontadenia,macrantha,L
ochrpy,Malvaceae,Ochroma,pyramidale,T
psycde,Rubiaceae,Psychotria,deflexa,T
vismsp,Hypericaecae,Vismia,NA,T
quasam,Simaroubaceae,Quassia,amara,T
pipeae,Piperaceae,Piper,aequale,T
tet2pa,Burseraceae,Tetragastris,panamensis,T
synewa,Arecaceae,Synechanthus,warscewiczianus,P
tbi.l,NA,NA,NA,L
phoeci,Lauraceae,Cinnamomum,triplinerve,T
machfl,Fabaceae,Machaerium,floribundum,L
machm2,Fabaceae,Machaerium,milleflorum,L
bactc1,Arecaceae,Bactris,coloniata,P
gustsu,Lecythidaceae,Gustavia,superba,T
micod2,Melastomataceae,Miconia,doniana,T
taline,Sapindaceae,Talisia,nervosa,T
warsco,Rubiaceae,Warszewiczia,coccinea,T
forsac,Apocynaceae,Forsteronia,acouci,L
entagi,Fabaceae,Entada,gigas,L
mikale,Asteraceae,Mikania,leiostachya,L
pipear,Piperaceae,Piper,aristolochiaefolium,L
stigli,Malpighiaceae,Stigmaphyllon,lindenianum,L
mar1la,Calophyllaceae,Marila,laxiflora,T
passme,Passifloraceae,Passiflora,megacoriacea,L
clitja,Fabaceae,Clitoria,javitensis,L
combde,Combretaceae,Combretum,decandrum,L
passvi,Passifloraceae,Passiflora,vitifolia,L
smilfe,Smilacaceae,Smilax,febrifuga,L
byrssp,Malpighiaceae,Byrsonima,spicata,T
sennda,Fabaceae,Senna,dariensis,T
faraoc,Rubiaceae,Faramea,occidentalis,T
pourbi,Urticaceae,Pourouma,bicolor,T
tab1gu,Bignoniaceae,Tabebuia,guayacan,T
pleova,Bignoniaceae,Pleonotoma,variabilis,L
herrpu,Malvaceae,Herrania,purpurea,T
byttac,Malvaceae,Byttneria,aculeata,L
myrilo,Urticaceae,Myriocarpa,longipes,T
unonpa,Annonaceae,Unonopsis,panamensis,T
sympgl,Clusiaceae,Symphonia,globulifera,T
psycac,Rubiaceae,Psychotria,acuminata,T
xyl1ar,Annonaceae,Xylopia,aromatica,T
hirtra,Chrysobalanaceae,Hirtella,racemosa,T
phryco,Bignoniaceae,Bignonia,corymbosa,L
gnetle,Gnetaceae,Gnetum,leyboldii,L
clids1,Melastomataceae,Clidemia,sericea,T
iserla,Rubiaceae,Isertia,laevis,T
petrvo,Verbenaceae,Petrea,volubilis,L
tet3di,Malpighiaceae,Tetrapterys,discolor,L
bellpe,Melastomataceae,Bellucia,pentamera,T
matain,Sapindaceae,Matayba,ingifolia,T
pse2sp,Moraceae,Pseudolmedia,spuria,T
soroaf,Moraceae,Sorocea,affinis,T
ocotpa,Lauraceae,Ocotea,atirrensis,T
ery2ma,Erythroxylaceae,Erythroxylum,macrophyllum,T
tovolo,Clusiaceae,Tovomita,longifolia,T
doliol,Dilleniaceae,Doliocarpus,olivaceus,L
stryto,Loganiaceae,Strychnos,toxifera,L
xyl1ma,Annonaceae,Xylopia,macrantha,T
gar2ma,Clusiaceae,Garcinia,madruno,T
sabivi,Rubiaceae,Sabicea,villosa,L
ficuob,Moraceae,Ficus,obtusifolia,T
hirttr,Chrysobalanaceae,Hirtella,triandra,T
forsmy,Apocynaceae,Forsteronia,myriantha,L
gonzru,Rubiaceae,Gonzalagunia,rudis,T
rinosq,Violaceae,Rinorea,squamata,T
mendli,Acanthaceae,Mendoncia,lindavii,L
tovost,Clusiaceae,Tovomita,stylosa,T
lindla,Achariaceae,Lindackeria,laurina,T
micose,Melastomataceae,Miconia,serrulata,T
bactm1,Arecaceae,Bactris,maraja,P
maquco,Moraceae,Maquira,guianensis,T
abu1dw,Menispermaceae,Abuta,dwyeriana,L
bactc2,Arecaceae,Bactris,coloradonis,P
ingasa,Fabaceae,Inga,sapindoides,T
oxanlo,Annonaceae,Oxandra,longipetala,T
cydiae,Bignoniaceae,Bignonia,aequinoctialis,L
secudi,Polygalaceae,Securidaca,diversifolia,L
vataer,Fabaceae,Vatairea,erythrocarpa,T
machci,Fabaceae,Machaerium,cirrhiferum,L
heisc1,Olacaceae,Heisteria,costaricensis,T
mandvi,Apocynaceae,Mandevilla,villosa,L
mangin,Anacardiaceae,Mangifera,indica,T
smils1,Smilacaceae,Smilax,spinosa,L
paulg2,Sapindaceae,Paullinia,glomerulosa,L
acaldi,Euphorbiaceae,Acalypha,diversifolia,T
posola,Rubiaceae,Posoqueria,latifolia,T
alsebl,Rubiaceae,Alseis,blackiana,T
tremmi,Cannabaceae,Trema,micrantha,T
